SD_System,SD_System_Name,SD_Sub_System,SD_Subsystem_Name,discipline,TOTAL ITEM,TOTAL DONE,TOTAL PENDING,TOTAL PUNCH,TOTAL CLEAR PUNCH,TOTAL NOT CLEAR PUNCH,TOTAL HOLD point
LS,Lighting System,LS-01,SS-MLP-01 for Normal Lighting System,ELECTRICAL,157,0.00,0.00,75,0.00,75.00,0.00
LS,Lighting System,LS-02,SS-EMLP-01 for Emergency Lighting System,ELECTRICAL,96,0.00,0.00,49,0.00,49.00,0.00
LS,Lighting System,LS-03,Lighting System for Substation,ELECTRICAL,272,0.00,0.00,0,0.00,0.00,0.00
LS,Lighting System,LS-04,Lighting System for Control Building,ELECTRICAL,286,0.00,0.00,0,0.00,0.00,0.00
LS,Lighting System,LS-05,Lighting System for Laboratory & Yard Office,ELECTRICAL,314,0.00,0.00,0,0.00,0.00,0.00
LS,Lighting System,LS-06,Lighting System for Street,ELECTRICAL,42,0.00,0.00,5,0.00,5.00,0.00
LS,Lighting System,LS-07,Lighting System for Area-02,ELECTRICAL,555,0.00,0.00,0,0.00,0.00,0.00
LS,Lighting System,LS-08,Lighting System for Area-03,ELECTRICAL,230,0.00,0.00,0,0.00,0.00,0.00
LS,Lighting System,LS-09,Lighting System for Area-04,ELECTRICAL,170,0.00,0.00,0,0.00,0.00,0.00
LS,Lighting System,LS-10,Lighting System for Area-05,ELECTRICAL,564,0.00,0.00,268,0.00,268.00,0.00
LS,Lighting System,LS-11,Lighting System for Area-06,ELECTRICAL,427,0.00,0.00,140,0.00,140.00,0.00
LS,Lighting System,LS-12,Lighting System for Area-07,ELECTRICAL,216,0.00,0.00,0,0.00,0.00,0.00
LS,Lighting System,LS-13,Lighting System for Warehouse,ELECTRICAL,8,0.00,0.00,0,0.00,0.00,0.00
LS,Lighting System,LS-14,Lighting System for Analyzer House,ELECTRICAL,31,0.00,0.00,0,0.00,0.00,0.00
LS,Lighting System,LS-15,Lighting System for Security Building,,0,0.00,0.00,0,0.00,0.00,0.00
TELE,Telecom Systems,TEL-01,Telecom System for Area-01,ELECTRICAL,24,0.00,0.00,0,0.00,0.00,0.00
TELE,Telecom Systems,TEL-02,Telecom System for Area-02,ELECTRICAL,61,0.00,0.00,0,0.00,0.00,0.00
TELE,Telecom Systems,TEL-03,Telecom System for Area-03,ELECTRICAL,39,0.00,0.00,0,0.00,0.00,0.00
TELE,Telecom Systems,TEL-04,Telecom System for Area-04,ELECTRICAL,37,0.00,0.00,0,0.00,0.00,0.00
TELE,Telecom Systems,TEL-05,Telecom System for Area-05,ELECTRICAL,71,0.00,0.00,0,0.00,0.00,0.00
TELE,Telecom Systems,TEL-06,Telecom System for Area-06,ELECTRICAL,46,0.00,0.00,0,0.00,0.00,0.00
TELE,Telecom Systems,TEL-07,Telecom System for Area-07,ELECTRICAL,44,0.00,0.00,0,0.00,0.00,0.00
TELE,Telecom Systems,TEL-08,Telecom System for Substation,ELECTRICAL,30,0.00,0.00,0,0.00,0.00,0.00
TELE,Telecom Systems,TEL-09,Telecom System for Control Building,ELECTRICAL,94,0.00,0.00,0,0.00,0.00,0.00
TELE,Telecom Systems,TEL-10,Telecom System for Laboratory,ELECTRICAL,89,0.00,0.00,0,0.00,0.00,0.00
TELE,Telecom Systems,TEL-11,CCTV,ELECTRICAL,57,0.00,0.00,0,0.00,0.00,0.00
TELE,Telecom Systems,TEL-12,Telecom System for Analyzer House,ELECTRICAL,8,0.00,0.00,0,0.00,0.00,0.00
TELE,Telecom Systems,TEL-13,Telecom System for Security Building,,0,0.00,0.00,0,0.00,0.00,0.00
TELE,Telecom Systems,TEL-14,Telecom System for Warehouse Building,,0,0.00,0.00,0,0.00,0.00,0.00
UNKNOW,UNKNOW,UNKNOW_SUBSYSTEM,UNKNOW_SUBSYSTEM,INSTRUMENT,6,0.00,0.00,0,0.00,0.00,0.00
